1.420,3.080,speaker_0
5.340,7.960,speaker_0
9.660,9.800,speaker_1
11.020,11.160,speaker_0
17.100,18.440,speaker_0
18.860,19.640,speaker_0
20.220,21.560,speaker_0
22.060,22.360,speaker_0
22.620,23.160,speaker_0
25.660,25.880,speaker_1
26.220,26.840,speaker_0
27.420,27.880,speaker_0
28.460,29.560,speaker_1
29.820,32.280,speaker_0
33.980,35.240,speaker_0
36.220,37.160,speaker_1
37.660,38.520,speaker_1
38.780,40.840,speaker_1
41.340,43.240,speaker_1
44.380,46.120,speaker_1
46.620,47.800,speaker_1
48.860,51.400,speaker_0
52.540,53.560,speaker_1
54.060,54.360,speaker_1
54.700,55.960,speaker_1
56.220,57.560,speaker_1
58.460,58.600,speaker_1
58.940,61.640,speaker_1
62.380,62.840,speaker_1
63.340,64.120,speaker_1
64.700,65.960,speaker_0
67.420,69.080,speaker_1
69.500,71.960,speaker_1
72.620,73.080,speaker_1
73.500,74.040,speaker_1
74.860,77.000,speaker_1
77.580,78.280,speaker_1
79.020,79.480,speaker_1
79.900,80.360,speaker_1
81.340,83.480,speaker_0
84.780,85.000,speaker_0
85.500,86.520,speaker_1
87.100,89.320,speaker_1
89.900,90.200,speaker_1
91.100,96.040,speaker_0
97.420,97.560,speaker_1
97.900,98.200,speaker_1
98.540,99.080,speaker_1
99.420,100.600,speaker_1
101.660,102.600,speaker_1
102.860,103.960,speaker_1
104.540,104.680,speaker_1
105.180,105.400,speaker_1
105.820,106.360,speaker_1
106.700,106.840,speaker_1
107.340,108.920,speaker_1
109.500,110.040,speaker_1
111.340,112.920,speaker_1
114.060,114.200,speaker_0
114.620,115.160,speaker_1
116.140,116.520,speaker_1
117.500,118.680,speaker_1
120.380,121.880,speaker_0
122.300,124.920,speaker_0
125.580,125.720,speaker_1
126.860,128.840,speaker_1
129.740,130.280,speaker_0
130.700,132.440,speaker_0
134.060,134.200,speaker_0
135.500,138.200,speaker_0
140.140,140.280,speaker_1
140.540,140.920,speaker_1
142.140,142.920,speaker_0
143.340,145.960,speaker_0
148.220,148.360,speaker_1
148.700,150.360,speaker_1
150.620,151.080,speaker_1
151.980,153.160,speaker_1
153.580,154.680,speaker_1
155.260,155.480,speaker_1
156.620,157.720,speaker_1
158.700,163.240,speaker_0
164.540,165.080,speaker_1
165.340,168.920,speaker_1
170.060,171.160,speaker_1
171.580,174.440,speaker_1
175.660,177.240,speaker_0
177.580,178.840,speaker_0
179.180,183.800,speaker_0
184.700,185.640,speaker_1
186.060,189.400,speaker_1
191.340,194.040,speaker_0
195.100,195.640,speaker_1
196.780,197.160,speaker_1
197.420,199.160,speaker_0
199.820,200.040,speaker_1
201.260,202.200,speaker_1
202.860,207.560,speaker_0
208.620,208.760,speaker_0
210.060,211.320,speaker_1
211.580,211.880,speaker_0
211.880,213.000,speaker_1
213.980,214.840,speaker_1
216.060,216.440,speaker_1
216.940,217.320,speaker_1
218.620,221.080,speaker_1
221.580,221.960,speaker_0
222.380,225.240,speaker_0
226.540,228.280,speaker_1
228.940,229.400,speaker_1
229.660,229.960,speaker_1
230.700,230.920,speaker_0
231.340,236.520,speaker_0
237.100,237.320,speaker_0
237.980,238.600,speaker_0
239.820,240.040,speaker_1
240.540,240.840,speaker_0
241.100,243.720,speaker_0
244.940,245.080,speaker_1
245.820,252.040,speaker_0
252.540,253.320,speaker_0
